"time","jiangan","jianghan","qiaokou","hanyang","wuchang","qingshan","hongshan","dongxihu","caidian","jiangxia","huangpi","xinzhou","hannan","total"
"1523386800","5","10","9","13","10","0","5","6","1","2","0","0","0","61"
"1523390400","3","8","3","10","6","0","8","5","3","6","1","0","0","53"
"1523379600","22","33","13","25","28","4","24","25","6","9","3","0","0","192"
"1523394000","11","25","7","18","19","3","9","15","4","3","4","0","0","118"
"1523397600","32","60","29","47","52","13","53","37","14","18","8","0","0","363"
"1523401200","67","112","42","77","95","30","78","82","20","27","13","0","0","643"
"1523412000","131","160","46","133","200","50","137","109","32","62","23","2","3","1088"
"1523404800","100","144","53","115","187","52","144","92","31","48","25","1","1","993"
"1523408400","111","179","69","134","192","46","138","92","37","60","22","0","1","1081"
"1523415600","141","187","76","135","196","71","148","100","42","54","26","1","3","1180"
"1523419200","112","151","58","138","186","55","166","88","33","57","17","0","3","1064"
"1523422800","70","149","65","156","162","44","148","80","39","46","15","0","0","974"
"1523433600","103","187","62","133","171","47","133","106","36","62","22","0","2","1064"
"1523426400","97","173","43","115","154","46","142","104","27","67","17","1","0","986"
"1523430000","97","147","75","116","172","33","131","108","24","46","36","0","2","987"
"1523437200","84","154","52","128","137","47","130","100","39","46","19","1","2","939"
"1523440800","81","130","50","112","161","43","133","71","20","55","15","0","0","871"
"1523444400","99","124","60","115","144","34","105","80","21","48","15","0","0","845"
"1523451600","75","111","53","105","128","28","110","60","26","42","11","1","1","751"
"1523448000","67","113","52","112","138","30","101","60","20","46","12","0","1","752"
"1523455200","70","105","52","101","132","20","103","66","19","42","21","0","1","732"
"1523458800","75","87","37","67","78","17","45","59","13","27","12","1","0","518"
"1523462400","30","50","21","44","44","8","32","35","10","7","5","1","1","288"
"1523466000","26","24","11","20","30","9","19","19","3","6","6","0","2","175"
"1523476800","6","7","1","8","17","1","9","4","0","3","0","0","0","56"
"1523473200","3","6","1","5","3","0","7","5","3","4","3","0","0","40"
"1523469600","13","10","4","7","8","2","12","12","5","12","2","0","0","87"
